base_name,skin_color_1,skin_color_2
cartwheel_0,white,hispanic
cartwheel_0,african,hispanic
cartwheel_0,asian,hispanic
cartwheel_0,hispanic,indian
cartwheel_0,hispanic,middle_eastern
cartwheel_0,hispanic,south_east_asian
cartwheel_8,white,african
cartwheel_8,white,asian
cartwheel_8,white,indian
cartwheel_8,white,south_east_asian
cartwheel_8,african,hispanic
cartwheel_8,african,middle_eastern
cartwheel_8,asian,hispanic
cartwheel_8,asian,middle_eastern
cartwheel_8,hispanic,indian
cartwheel_8,hispanic,south_east_asian
cartwheel_8,indian,middle_eastern
cartwheel_8,middle_eastern,south_east_asian
cartwheel_9,african,asian
cartwheel_9,african,hispanic
cartwheel_9,african,middle_eastern
cartwheel_9,african,south_east_asian
cartwheel_9,african,white
cartwheel_9,asian,hispanic
cartwheel_9,asian,indian
cartwheel_9,asian,middle_eastern
cartwheel_9,asian,south_east_asian
cartwheel_9,asian,white
cartwheel_9,hispanic,indian
cartwheel_9,indian,middle_eastern
cartwheel_9,indian,south_east_asian
cartwheel_9,indian,white
celebrate_2,south_east_asian,african
celebrate_2,south_east_asian,asian
celebrate_2,south_east_asian,hispanic
celebrate_2,south_east_asian,indian
celebrate_2,african,middle_eastern
celebrate_2,african,white
celebrate_2,asian,middle_eastern
celebrate_2,asian,white
celebrate_2,hispanic,middle_eastern
celebrate_2,hispanic,white
celebrate_2,indian,middle_eastern
celebrate_2,indian,white
celebrate_5,indian,african
celebrate_5,african,asian
celebrate_5,african,hispanic
celebrate_5,african,middle_eastern
celebrate_5,african,south_east_asian
celebrate_5,african,white
celebrate_7,south_east_asian,african
celebrate_7,south_east_asian,white
celebrate_7,african,asian
celebrate_7,african,hispanic
celebrate_7,african,indian
celebrate_7,african,middle_eastern
celebrate_7,african,white
celebrate_7,asian,white
celebrate_7,hispanic,white
celebrate_7,indian,white
celebrate_7,middle_eastern,white
clap_0,white,african
clap_0,white,asian
clap_0,white,hispanic
clap_0,white,indian
clap_0,white,middle_eastern
clap_0,white,south_east_asian
clap_1,white,african
clap_1,white,south_east_asian
clap_1,african,asian
clap_1,african,hispanic
clap_1,african,indian
clap_1,african,middle_eastern
clap_1,african,south_east_asian
clap_1,asian,south_east_asian
clap_1,hispanic,south_east_asian
clap_1,indian,south_east_asian
clap_1,middle_eastern,south_east_asian
clap_5,indian,south_east_asian
clap_5,african,south_east_asian
clap_5,asian,south_east_asian
clap_5,hispanic,south_east_asian
clap_5,middle_eastern,south_east_asian
clap_5,south_east_asian,white
clap_6,hispanic,african
clap_6,hispanic,south_east_asian
clap_6,african,asian
clap_6,african,indian
clap_6,african,middle_eastern
clap_6,african,white
clap_6,asian,south_east_asian
clap_6,indian,south_east_asian
clap_6,middle_eastern,south_east_asian
clap_6,south_east_asian,white
clap_7,south_east_asian,middle_eastern
clap_7,south_east_asian,white
clap_7,african,middle_eastern
clap_7,african,white
clap_7,asian,middle_eastern
clap_7,asian,white
clap_7,hispanic,middle_eastern
clap_7,hispanic,white
clap_7,indian,middle_eastern
clap_7,indian,white
clap_7,middle_eastern,white
dribble_3,white,african
dribble_3,white,asian
dribble_3,white,hispanic
dribble_3,white,indian
dribble_3,white,south_east_asian
dribble_3,african,middle_eastern
dribble_3,asian,middle_eastern
dribble_3,hispanic,middle_eastern
dribble_3,indian,middle_eastern
dribble_3,middle_eastern,south_east_asian
