base_name,skin_color_1,skin_color_2
cartwheel_0,white,african
cartwheel_0,african,asian
cartwheel_0,african,hispanic
cartwheel_0,african,indian
cartwheel_0,african,middle_eastern
cartwheel_0,african,south_east_asian
cartwheel_1,white,african
cartwheel_1,white,indian
cartwheel_1,african,asian
cartwheel_1,african,hispanic
cartwheel_1,african,middle_eastern
cartwheel_1,african,south_east_asian
cartwheel_1,asian,indian
cartwheel_1,hispanic,indian
cartwheel_1,indian,middle_eastern
cartwheel_1,indian,south_east_asian
cartwheel_2,south_east_asian,asian
cartwheel_2,south_east_asian,middle_eastern
cartwheel_2,south_east_asian,white
cartwheel_2,african,asian
cartwheel_2,african,middle_eastern
cartwheel_2,african,white
cartwheel_2,asian,hispanic
cartwheel_2,asian,indian
cartwheel_2,asian,white
cartwheel_2,hispanic,middle_eastern
cartwheel_2,hispanic,white
cartwheel_2,indian,middle_eastern
cartwheel_2,indian,white
cartwheel_2,middle_eastern,white
cartwheel_5,indian,hispanic
cartwheel_5,indian,middle_eastern
cartwheel_5,indian,white
cartwheel_5,african,hispanic
cartwheel_5,african,middle_eastern
cartwheel_5,african,white
cartwheel_5,asian,hispanic
cartwheel_5,asian,middle_eastern
cartwheel_5,asian,white
cartwheel_5,hispanic,south_east_asian
cartwheel_5,middle_eastern,south_east_asian
cartwheel_5,south_east_asian,white
cartwheel_6,hispanic,african
cartwheel_6,hispanic,asian
cartwheel_6,hispanic,indian
cartwheel_6,hispanic,middle_eastern
cartwheel_6,hispanic,white
cartwheel_6,african,asian
cartwheel_6,african,middle_eastern
cartwheel_6,african,south_east_asian
cartwheel_6,african,white
cartwheel_6,asian,indian
cartwheel_6,asian,south_east_asian
cartwheel_6,asian,white
cartwheel_6,indian,middle_eastern
cartwheel_6,indian,south_east_asian
cartwheel_6,indian,white
cartwheel_6,middle_eastern,south_east_asian
cartwheel_6,middle_eastern,white
cartwheel_6,south_east_asian,white
cartwheel_9,african,south_east_asian
cartwheel_9,asian,south_east_asian
cartwheel_9,hispanic,south_east_asian
cartwheel_9,indian,south_east_asian
cartwheel_9,middle_eastern,south_east_asian
cartwheel_9,south_east_asian,white
celebrate_0,white,african
celebrate_0,white,hispanic
celebrate_0,white,indian
celebrate_0,african,asian
celebrate_0,african,middle_eastern
celebrate_0,african,south_east_asian
celebrate_0,asian,hispanic
celebrate_0,asian,indian
celebrate_0,hispanic,middle_eastern
celebrate_0,hispanic,south_east_asian
celebrate_0,indian,middle_eastern
celebrate_0,indian,south_east_asian
celebrate_1,white,african
celebrate_1,white,asian
celebrate_1,white,hispanic
celebrate_1,white,indian
celebrate_1,white,middle_eastern
celebrate_1,white,south_east_asian
celebrate_3,white,african
celebrate_3,white,asian
celebrate_3,white,hispanic
celebrate_3,white,indian
celebrate_3,white,south_east_asian
celebrate_3,african,middle_eastern
celebrate_3,asian,middle_eastern
celebrate_3,hispanic,middle_eastern
celebrate_3,indian,middle_eastern
celebrate_3,middle_eastern,south_east_asian
celebrate_5,indian,hispanic
celebrate_5,indian,south_east_asian
celebrate_5,african,hispanic
celebrate_5,african,south_east_asian
celebrate_5,asian,hispanic
celebrate_5,asian,south_east_asian
celebrate_5,hispanic,middle_eastern
celebrate_5,hispanic,white
celebrate_5,middle_eastern,south_east_asian
celebrate_5,south_east_asian,white
celebrate_6,hispanic,african
celebrate_6,hispanic,indian
celebrate_6,hispanic,middle_eastern
celebrate_6,hispanic,south_east_asian
celebrate_6,hispanic,white
celebrate_6,african,asian
celebrate_6,african,indian
celebrate_6,african,south_east_asian
celebrate_6,african,white
celebrate_6,asian,indian
celebrate_6,asian,middle_eastern
celebrate_6,asian,south_east_asian
celebrate_6,asian,white
celebrate_6,indian,middle_eastern
celebrate_6,indian,white
celebrate_6,middle_eastern,south_east_asian
celebrate_6,middle_eastern,white
celebrate_6,south_east_asian,white
celebrate_7,south_east_asian,african
celebrate_7,african,asian
celebrate_7,african,hispanic
celebrate_7,african,indian
celebrate_7,african,middle_eastern
celebrate_7,african,white
celebrate_8,white,african
celebrate_8,white,hispanic
celebrate_8,white,indian
celebrate_8,white,south_east_asian
celebrate_8,african,asian
celebrate_8,african,hispanic
celebrate_8,african,indian
celebrate_8,african,middle_eastern
celebrate_8,african,south_east_asian
celebrate_8,asian,hispanic
celebrate_8,asian,indian
celebrate_8,asian,south_east_asian
celebrate_8,hispanic,middle_eastern
celebrate_8,indian,middle_eastern
celebrate_8,middle_eastern,south_east_asian
celebrate_9,african,asian
celebrate_9,african,white
celebrate_9,asian,hispanic
celebrate_9,asian,indian
celebrate_9,asian,middle_eastern
celebrate_9,asian,south_east_asian
celebrate_9,hispanic,white
celebrate_9,indian,white
celebrate_9,middle_eastern,white
celebrate_9,south_east_asian,white
clap_0,white,african
clap_0,white,asian
clap_0,white,south_east_asian
clap_0,african,hispanic
clap_0,african,indian
clap_0,african,middle_eastern
clap_0,african,south_east_asian
clap_0,asian,hispanic
clap_0,asian,indian
clap_0,asian,middle_eastern
clap_0,asian,south_east_asian
clap_0,hispanic,south_east_asian
clap_0,indian,south_east_asian
clap_0,middle_eastern,south_east_asian
clap_1,white,african
clap_1,white,asian
clap_1,white,indian
clap_1,african,asian
clap_1,african,hispanic
clap_1,african,indian
clap_1,african,middle_eastern
clap_1,african,south_east_asian
clap_1,asian,hispanic
clap_1,asian,indian
clap_1,asian,middle_eastern
clap_1,asian,south_east_asian
clap_1,hispanic,indian
clap_1,indian,middle_eastern
clap_1,indian,south_east_asian
clap_5,indian,african
clap_5,indian,hispanic
clap_5,african,asian
clap_5,african,hispanic
clap_5,african,middle_eastern
clap_5,african,south_east_asian
clap_5,african,white
clap_5,asian,hispanic
clap_5,hispanic,middle_eastern
clap_5,hispanic,south_east_asian
clap_5,hispanic,white
clap_7,south_east_asian,white
clap_7,african,white
clap_7,asian,white
