base_name,skin_color_1,skin_color_2
cartwheel_6,hispanic,asian
cartwheel_6,hispanic,middle_eastern
cartwheel_6,hispanic,white
cartwheel_6,african,asian
cartwheel_6,african,middle_eastern
cartwheel_6,african,white
cartwheel_6,asian,indian
cartwheel_6,asian,south_east_asian
cartwheel_6,indian,middle_eastern
cartwheel_6,indian,white
cartwheel_6,middle_eastern,south_east_asian
cartwheel_6,south_east_asian,white
cartwheel_9,african,asian
cartwheel_9,african,hispanic
cartwheel_9,african,middle_eastern
cartwheel_9,african,white
cartwheel_9,asian,indian
cartwheel_9,asian,south_east_asian
cartwheel_9,hispanic,indian
cartwheel_9,hispanic,south_east_asian
cartwheel_9,indian,middle_eastern
cartwheel_9,indian,white
cartwheel_9,middle_eastern,south_east_asian
cartwheel_9,south_east_asian,white
celebrate_0,white,african
celebrate_0,white,hispanic
celebrate_0,white,indian
celebrate_0,white,middle_eastern
celebrate_0,white,south_east_asian
celebrate_0,african,asian
celebrate_0,asian,hispanic
celebrate_0,asian,indian
celebrate_0,asian,middle_eastern
celebrate_0,asian,south_east_asian
celebrate_1,white,african
celebrate_1,white,asian
celebrate_1,white,indian
celebrate_1,white,south_east_asian
celebrate_1,african,asian
celebrate_1,african,hispanic
celebrate_1,african,middle_eastern
celebrate_1,african,south_east_asian
celebrate_1,asian,hispanic
celebrate_1,asian,indian
celebrate_1,asian,middle_eastern
celebrate_1,hispanic,indian
celebrate_1,hispanic,south_east_asian
celebrate_1,indian,middle_eastern
celebrate_1,indian,south_east_asian
celebrate_1,middle_eastern,south_east_asian
celebrate_2,south_east_asian,middle_eastern
celebrate_2,south_east_asian,white
celebrate_2,african,middle_eastern
celebrate_2,african,white
celebrate_2,asian,middle_eastern
celebrate_2,asian,white
celebrate_2,hispanic,middle_eastern
celebrate_2,hispanic,white
celebrate_2,indian,middle_eastern
celebrate_2,indian,white
celebrate_3,white,african
celebrate_3,white,asian
celebrate_3,white,hispanic
celebrate_3,white,indian
celebrate_3,white,south_east_asian
celebrate_3,african,asian
celebrate_3,african,middle_eastern
celebrate_3,asian,hispanic
celebrate_3,asian,indian
celebrate_3,asian,middle_eastern
celebrate_3,asian,south_east_asian
celebrate_3,hispanic,middle_eastern
celebrate_3,indian,middle_eastern
celebrate_3,middle_eastern,south_east_asian
celebrate_4,middle_eastern,african
celebrate_4,middle_eastern,indian
celebrate_4,african,asian
celebrate_4,african,hispanic
celebrate_4,african,south_east_asian
celebrate_4,african,white
celebrate_4,asian,indian
celebrate_4,hispanic,indian
celebrate_4,indian,south_east_asian
celebrate_4,indian,white
celebrate_5,indian,hispanic
celebrate_5,indian,middle_eastern
celebrate_5,indian,south_east_asian
celebrate_5,indian,white
celebrate_5,african,hispanic
celebrate_5,african,middle_eastern
celebrate_5,african,south_east_asian
celebrate_5,african,white
celebrate_5,asian,hispanic
celebrate_5,asian,middle_eastern
celebrate_5,asian,south_east_asian
celebrate_5,asian,white
celebrate_5,hispanic,south_east_asian
celebrate_5,middle_eastern,south_east_asian
celebrate_5,south_east_asian,white
celebrate_7,south_east_asian,african
celebrate_7,south_east_asian,middle_eastern
celebrate_7,south_east_asian,white
celebrate_7,african,asian
celebrate_7,african,hispanic
celebrate_7,african,indian
celebrate_7,african,middle_eastern
celebrate_7,african,white
celebrate_7,asian,middle_eastern
celebrate_7,asian,white
celebrate_7,hispanic,middle_eastern
celebrate_7,hispanic,white
celebrate_7,indian,middle_eastern
celebrate_7,indian,white
celebrate_8,white,african
celebrate_8,white,hispanic
celebrate_8,white,indian
celebrate_8,white,middle_eastern
celebrate_8,white,south_east_asian
celebrate_8,african,asian
celebrate_8,asian,hispanic
celebrate_8,asian,indian
celebrate_8,asian,middle_eastern
celebrate_8,asian,south_east_asian
celebrate_9,african,asian
celebrate_9,african,hispanic
celebrate_9,african,middle_eastern
celebrate_9,african,white
celebrate_9,asian,indian
celebrate_9,asian,south_east_asian
celebrate_9,hispanic,indian
celebrate_9,hispanic,south_east_asian
celebrate_9,indian,middle_eastern
celebrate_9,indian,white
celebrate_9,middle_eastern,south_east_asian
celebrate_9,south_east_asian,white
clap_0,white,african
clap_0,white,asian
clap_0,white,hispanic
clap_0,white,indian
clap_0,white,middle_eastern
clap_0,white,south_east_asian
clap_0,african,indian
clap_0,african,south_east_asian
clap_0,asian,indian
clap_0,asian,south_east_asian
clap_0,hispanic,indian
clap_0,hispanic,south_east_asian
clap_0,indian,middle_eastern
clap_0,middle_eastern,south_east_asian
clap_1,white,african
clap_1,white,asian
clap_1,white,hispanic
clap_1,white,indian
clap_1,white,south_east_asian
clap_1,african,hispanic
clap_1,african,middle_eastern
clap_1,african,south_east_asian
clap_1,asian,hispanic
clap_1,asian,middle_eastern
clap_1,asian,south_east_asian
clap_1,hispanic,indian
clap_1,hispanic,middle_eastern
clap_1,indian,middle_eastern
clap_1,indian,south_east_asian
clap_1,middle_eastern,south_east_asian
clap_2,south_east_asian,african
clap_2,south_east_asian,hispanic
clap_2,south_east_asian,middle_eastern
clap_2,south_east_asian,white
clap_2,african,asian
clap_2,african,hispanic
clap_2,african,indian
clap_2,african,middle_eastern
clap_2,african,white
clap_2,asian,hispanic
clap_2,asian,middle_eastern
clap_2,asian,white
clap_2,hispanic,indian
clap_2,indian,middle_eastern
clap_2,indian,white
clap_5,indian,african
clap_5,indian,asian
clap_5,indian,hispanic
clap_5,indian,middle_eastern
clap_5,indian,south_east_asian
clap_5,indian,white
clap_5,african,asian
clap_5,african,hispanic
clap_5,african,middle_eastern
clap_5,african,south_east_asian
clap_5,african,white
clap_7,south_east_asian,asian
clap_7,south_east_asian,middle_eastern
clap_7,south_east_asian,white
clap_7,african,asian
clap_7,african,middle_eastern
clap_7,african,white
clap_7,asian,hispanic
clap_7,asian,indian
clap_7,asian,white
clap_7,hispanic,middle_eastern
clap_7,hispanic,white
clap_7,indian,middle_eastern
clap_7,indian,white
clap_7,middle_eastern,white
cry_2,south_east_asian,middle_eastern
cry_2,african,middle_eastern
cry_2,asian,middle_eastern
cry_2,hispanic,middle_eastern
cry_2,indian,middle_eastern
cry_2,middle_eastern,white
cry_5,indian,middle_eastern
cry_5,african,middle_eastern
cry_5,asian,middle_eastern
cry_5,hispanic,middle_eastern
cry_5,middle_eastern,south_east_asian
cry_5,middle_eastern,white
cry_8,white,middle_eastern
cry_8,african,middle_eastern
cry_8,asian,middle_eastern
cry_8,hispanic,middle_eastern
cry_8,indian,middle_eastern
cry_8,middle_eastern,south_east_asian
dribble_1,white,african
dribble_1,white,asian
dribble_1,white,hispanic
dribble_1,white,indian
dribble_1,white,south_east_asian
dribble_1,african,asian
dribble_1,african,hispanic
dribble_1,african,middle_eastern
dribble_1,african,south_east_asian
dribble_1,asian,indian
dribble_1,asian,middle_eastern
dribble_1,hispanic,indian
dribble_1,hispanic,middle_eastern
dribble_1,indian,middle_eastern
dribble_1,indian,south_east_asian
dribble_1,middle_eastern,south_east_asian
dribble_2,south_east_asian,african
dribble_2,south_east_asian,asian
dribble_2,south_east_asian,hispanic
dribble_2,south_east_asian,indian
dribble_2,south_east_asian,middle_eastern
dribble_2,african,white
dribble_2,asian,white
dribble_2,hispanic,white
dribble_2,indian,white
dribble_2,middle_eastern,white
dribble_3,white,african
dribble_3,white,asian
dribble_3,white,middle_eastern
dribble_3,african,hispanic
dribble_3,african,indian
dribble_3,african,south_east_asian
dribble_3,asian,hispanic
dribble_3,asian,indian
dribble_3,asian,south_east_asian
dribble_3,hispanic,middle_eastern
dribble_3,indian,middle_eastern
dribble_3,middle_eastern,south_east_asian
dribble_5,indian,african
dribble_5,indian,asian
dribble_5,african,hispanic
dribble_5,african,middle_eastern
dribble_5,african,south_east_asian
dribble_5,african,white
dribble_5,asian,hispanic
dribble_5,asian,middle_eastern
dribble_5,asian,south_east_asian
dribble_5,asian,white
dribble_6,hispanic,asian
dribble_6,hispanic,indian
dribble_6,hispanic,middle_eastern
dribble_6,hispanic,south_east_asian
dribble_6,hispanic,white
dribble_6,african,asian
dribble_6,african,indian
dribble_6,african,middle_eastern
dribble_6,african,south_east_asian
dribble_6,african,white
dribble_7,south_east_asian,asian
dribble_7,south_east_asian,hispanic
dribble_7,south_east_asian,middle_eastern
dribble_7,south_east_asian,white
dribble_7,african,asian
dribble_7,african,hispanic
dribble_7,african,middle_eastern
dribble_7,african,white
dribble_7,asian,indian
dribble_7,hispanic,indian
dribble_7,indian,middle_eastern
dribble_7,indian,white
dribble_8,white,indian
dribble_8,white,south_east_asian
dribble_8,african,indian
dribble_8,african,south_east_asian
dribble_8,asian,indian
dribble_8,asian,south_east_asian
dribble_8,hispanic,indian
dribble_8,hispanic,south_east_asian
dribble_8,indian,middle_eastern
dribble_8,indian,south_east_asian
dribble_8,middle_eastern,south_east_asian
dribble_9,african,asian
dribble_9,african,middle_eastern
dribble_9,african,south_east_asian
dribble_9,african,white
dribble_9,asian,hispanic
dribble_9,asian,indian
dribble_9,hispanic,middle_eastern
dribble_9,hispanic,south_east_asian
dribble_9,hispanic,white
dribble_9,indian,middle_eastern
dribble_9,indian,south_east_asian
dribble_9,indian,white
drink_0,white,asian
drink_0,white,hispanic
drink_0,white,south_east_asian
drink_0,african,asian
drink_0,african,hispanic
drink_0,african,south_east_asian
drink_0,asian,indian
drink_0,asian,middle_eastern
drink_0,hispanic,indian
drink_0,hispanic,middle_eastern
drink_0,indian,south_east_asian
drink_0,middle_eastern,south_east_asian
drink_1,white,asian
drink_1,white,indian
drink_1,african,asian
drink_1,african,indian
drink_1,asian,hispanic
drink_1,asian,indian
drink_1,asian,middle_eastern
drink_1,asian,south_east_asian
drink_1,hispanic,indian
drink_1,indian,middle_eastern
drink_1,indian,south_east_asian
drink_2,south_east_asian,african
drink_2,african,asian
drink_2,african,hispanic
drink_2,african,indian
drink_2,african,middle_eastern
drink_2,african,white
drink_4,middle_eastern,african
drink_4,middle_eastern,asian
drink_4,middle_eastern,indian
drink_4,middle_eastern,white
drink_4,african,asian
drink_4,african,hispanic
drink_4,african,south_east_asian
drink_4,african,white
drink_4,asian,hispanic
drink_4,asian,indian
drink_4,asian,south_east_asian
drink_4,hispanic,indian
drink_4,hispanic,white
drink_4,indian,south_east_asian
drink_4,indian,white
drink_4,south_east_asian,white
drink_8,white,african
drink_8,white,asian
drink_8,white,hispanic
drink_8,white,indian
drink_8,white,middle_eastern
drink_8,white,south_east_asian
drink_8,african,asian
drink_8,african,hispanic
drink_8,african,middle_eastern
drink_8,african,south_east_asian
drink_8,asian,indian
drink_8,asian,middle_eastern
drink_8,hispanic,indian
drink_8,hispanic,middle_eastern
drink_8,indian,middle_eastern
drink_8,indian,south_east_asian
drink_8,middle_eastern,south_east_asian
drink_9,african,middle_eastern
drink_9,african,white
drink_9,asian,middle_eastern
drink_9,asian,white
drink_9,hispanic,middle_eastern
drink_9,hispanic,white
drink_9,indian,middle_eastern
drink_9,indian,white
drink_9,middle_eastern,south_east_asian
drink_9,middle_eastern,white
drink_9,south_east_asian,white
drive_0,white,indian
drive_0,african,indian
drive_0,asian,indian
drive_0,hispanic,indian
drive_0,indian,middle_eastern
drive_0,indian,south_east_asian
drive_4,middle_eastern,african
drive_4,middle_eastern,indian
drive_4,middle_eastern,south_east_asian
drive_4,african,asian
drive_4,african,hispanic
drive_4,african,white
drive_4,asian,indian
drive_4,asian,south_east_asian
drive_4,hispanic,indian
drive_4,hispanic,south_east_asian
drive_4,indian,white
drive_4,south_east_asian,white
drive_5,indian,asian
drive_5,indian,hispanic
drive_5,indian,middle_eastern
drive_5,indian,south_east_asian
drive_5,indian,white
drive_5,african,asian
drive_5,african,hispanic
drive_5,african,middle_eastern
drive_5,african,south_east_asian
drive_5,african,white
drive_6,hispanic,middle_eastern
drive_6,african,middle_eastern
drive_6,asian,middle_eastern
drive_6,indian,middle_eastern
drive_6,middle_eastern,south_east_asian
drive_6,middle_eastern,white
drive_7,south_east_asian,indian
drive_7,african,indian
drive_7,asian,indian
drive_7,hispanic,indian
drive_7,indian,middle_eastern
drive_7,indian,white
golf_0,white,african
golf_0,white,hispanic
golf_0,white,indian
golf_0,african,asian
golf_0,african,middle_eastern
golf_0,african,south_east_asian
golf_0,asian,hispanic
golf_0,asian,indian
golf_0,hispanic,middle_eastern
golf_0,hispanic,south_east_asian
golf_0,indian,middle_eastern
golf_0,indian,south_east_asian
golf_2,south_east_asian,african
golf_2,south_east_asian,asian
golf_2,south_east_asian,hispanic
golf_2,south_east_asian,indian
golf_2,south_east_asian,middle_eastern
golf_2,african,middle_eastern
golf_2,african,white
golf_2,asian,middle_eastern
golf_2,asian,white
golf_2,hispanic,middle_eastern
golf_2,hispanic,white
golf_2,indian,middle_eastern
golf_2,indian,white
golf_2,middle_eastern,white
golf_3,white,african
golf_3,african,asian
golf_3,african,hispanic
golf_3,african,indian
golf_3,african,middle_eastern
golf_3,african,south_east_asian
golf_5,indian,african
golf_5,indian,hispanic
golf_5,indian,middle_eastern
golf_5,indian,south_east_asian
golf_5,african,asian
golf_5,african,white
golf_5,asian,hispanic
golf_5,asian,middle_eastern
golf_5,asian,south_east_asian
