base_name,skin_color_1,skin_color_2
cartwheel_6,hispanic,white
cartwheel_6,african,white
cartwheel_6,asian,white
cartwheel_6,indian,white
cartwheel_6,middle_eastern,white
cartwheel_6,south_east_asian,white
celebrate_2,south_east_asian,indian
celebrate_2,south_east_asian,middle_eastern
celebrate_2,african,indian
celebrate_2,african,middle_eastern
celebrate_2,asian,indian
celebrate_2,asian,middle_eastern
celebrate_2,hispanic,indian
celebrate_2,hispanic,middle_eastern
celebrate_2,indian,white
celebrate_2,middle_eastern,white
clap_0,white,asian
clap_0,african,asian
clap_0,asian,hispanic
clap_0,asian,indian
clap_0,asian,middle_eastern
clap_0,asian,south_east_asian
clap_1,white,middle_eastern
clap_1,white,south_east_asian
clap_1,african,middle_eastern
clap_1,african,south_east_asian
clap_1,asian,middle_eastern
clap_1,asian,south_east_asian
clap_1,hispanic,middle_eastern
clap_1,hispanic,south_east_asian
clap_1,indian,middle_eastern
clap_1,indian,south_east_asian
clap_1,middle_eastern,south_east_asian
clap_3,white,asian
clap_3,white,hispanic
clap_3,white,indian
clap_3,white,middle_eastern
clap_3,white,south_east_asian
clap_3,african,asian
clap_3,african,hispanic
clap_3,african,indian
clap_3,african,middle_eastern
clap_3,african,south_east_asian
clap_3,asian,indian
clap_3,hispanic,indian
clap_3,indian,middle_eastern
clap_3,indian,south_east_asian
clap_4,middle_eastern,south_east_asian
clap_4,african,south_east_asian
clap_4,asian,south_east_asian
clap_4,hispanic,south_east_asian
clap_4,indian,south_east_asian
clap_4,south_east_asian,white
clap_6,hispanic,asian
clap_6,hispanic,indian
clap_6,hispanic,middle_eastern
clap_6,african,asian
clap_6,african,indian
clap_6,african,middle_eastern
clap_6,asian,south_east_asian
clap_6,asian,white
clap_6,indian,south_east_asian
clap_6,indian,white
clap_6,middle_eastern,south_east_asian
clap_6,middle_eastern,white
clap_8,white,hispanic
clap_8,african,hispanic
clap_8,asian,hispanic
clap_8,hispanic,indian
clap_8,hispanic,middle_eastern
clap_8,hispanic,south_east_asian
cry_0,white,asian
cry_0,white,south_east_asian
cry_0,african,asian
cry_0,african,south_east_asian
cry_0,asian,hispanic
cry_0,asian,indian
cry_0,asian,middle_eastern
cry_0,hispanic,south_east_asian
cry_0,indian,south_east_asian
cry_0,middle_eastern,south_east_asian
cry_1,white,african
cry_1,african,asian
cry_1,african,hispanic
cry_1,african,indian
cry_1,african,middle_eastern
cry_1,african,south_east_asian
cry_2,south_east_asian,hispanic
cry_2,south_east_asian,indian
cry_2,south_east_asian,middle_eastern
cry_2,african,hispanic
cry_2,african,indian
cry_2,african,middle_eastern
cry_2,asian,hispanic
cry_2,asian,indian
cry_2,asian,middle_eastern
cry_2,hispanic,white
cry_2,indian,white
cry_2,middle_eastern,white
cry_3,white,african
cry_3,white,hispanic
cry_3,white,indian
cry_3,african,asian
cry_3,african,middle_eastern
cry_3,african,south_east_asian
cry_3,asian,hispanic
cry_3,asian,indian
cry_3,hispanic,middle_eastern
cry_3,hispanic,south_east_asian
cry_3,indian,middle_eastern
cry_3,indian,south_east_asian
cry_5,indian,south_east_asian
cry_5,african,south_east_asian
cry_5,asian,south_east_asian
cry_5,hispanic,south_east_asian
cry_5,middle_eastern,south_east_asian
cry_5,south_east_asian,white
cry_6,hispanic,middle_eastern
cry_6,hispanic,south_east_asian
cry_6,african,middle_eastern
cry_6,african,south_east_asian
cry_6,asian,middle_eastern
cry_6,asian,south_east_asian
cry_6,indian,middle_eastern
cry_6,indian,south_east_asian
cry_6,middle_eastern,white
cry_6,south_east_asian,white
cry_9,african,asian
cry_9,african,hispanic
cry_9,african,middle_eastern
cry_9,african,south_east_asian
cry_9,african,white
cry_9,asian,indian
cry_9,hispanic,indian
cry_9,indian,middle_eastern
cry_9,indian,south_east_asian
cry_9,indian,white
dribble_1,white,african
dribble_1,white,hispanic
dribble_1,white,indian
dribble_1,white,south_east_asian
dribble_1,african,asian
dribble_1,african,middle_eastern
dribble_1,asian,hispanic
dribble_1,asian,indian
dribble_1,asian,south_east_asian
dribble_1,hispanic,middle_eastern
dribble_1,indian,middle_eastern
dribble_1,middle_eastern,south_east_asian
dribble_2,south_east_asian,asian
dribble_2,south_east_asian,indian
dribble_2,south_east_asian,middle_eastern
dribble_2,african,asian
dribble_2,african,indian
dribble_2,african,middle_eastern
dribble_2,asian,hispanic
dribble_2,asian,middle_eastern
dribble_2,asian,white
dribble_2,hispanic,indian
dribble_2,hispanic,middle_eastern
dribble_2,indian,middle_eastern
dribble_2,indian,white
dribble_2,middle_eastern,white
dribble_3,white,african
dribble_3,white,asian
dribble_3,white,indian
dribble_3,african,asian
dribble_3,african,hispanic
dribble_3,african,indian
dribble_3,african,middle_eastern
dribble_3,african,south_east_asian
dribble_3,asian,hispanic
dribble_3,asian,indian
dribble_3,asian,middle_eastern
dribble_3,asian,south_east_asian
dribble_3,hispanic,indian
dribble_3,indian,middle_eastern
dribble_3,indian,south_east_asian
dribble_5,indian,asian
dribble_5,indian,hispanic
dribble_5,indian,white
dribble_5,african,asian
dribble_5,african,hispanic
dribble_5,african,white
dribble_5,asian,hispanic
dribble_5,asian,middle_eastern
dribble_5,asian,south_east_asian
dribble_5,hispanic,middle_eastern
dribble_5,hispanic,south_east_asian
dribble_5,hispanic,white
dribble_5,middle_eastern,white
dribble_5,south_east_asian,white
dribble_7,south_east_asian,african
dribble_7,south_east_asian,asian
dribble_7,south_east_asian,indian
dribble_7,african,hispanic
dribble_7,african,middle_eastern
dribble_7,african,white
dribble_7,asian,hispanic
dribble_7,asian,middle_eastern
dribble_7,asian,white
dribble_7,hispanic,indian
dribble_7,indian,middle_eastern
dribble_7,indian,white
dribble_8,white,african
dribble_8,white,indian
dribble_8,african,asian
dribble_8,african,hispanic
dribble_8,african,middle_eastern
dribble_8,african,south_east_asian
dribble_8,asian,indian
dribble_8,hispanic,indian
dribble_8,indian,middle_eastern
dribble_8,indian,south_east_asian
dribble_9,african,indian
dribble_9,african,middle_eastern
dribble_9,asian,indian
dribble_9,asian,middle_eastern
dribble_9,hispanic,indian
dribble_9,hispanic,middle_eastern
dribble_9,indian,south_east_asian
dribble_9,indian,white
dribble_9,middle_eastern,south_east_asian
dribble_9,middle_eastern,white
drink_0,white,asian
drink_0,white,indian
drink_0,african,asian
drink_0,african,indian
drink_0,asian,hispanic
drink_0,asian,indian
drink_0,asian,middle_eastern
drink_0,asian,south_east_asian
drink_0,hispanic,indian
drink_0,indian,middle_eastern
drink_0,indian,south_east_asian
drink_1,white,hispanic
drink_1,white,south_east_asian
drink_1,african,hispanic
drink_1,african,south_east_asian
drink_1,asian,hispanic
drink_1,asian,south_east_asian
drink_1,hispanic,indian
drink_1,hispanic,middle_eastern
drink_1,hispanic,south_east_asian
drink_1,indian,south_east_asian
drink_1,middle_eastern,south_east_asian
drink_2,south_east_asian,african
drink_2,south_east_asian,asian
drink_2,south_east_asian,hispanic
drink_2,south_east_asian,indian
drink_2,south_east_asian,middle_eastern
drink_2,south_east_asian,white
drink_2,african,hispanic
drink_2,african,indian
drink_2,african,white
drink_2,asian,hispanic
drink_2,asian,indian
drink_2,asian,white
drink_2,hispanic,indian
drink_2,hispanic,middle_eastern
drink_2,hispanic,white
drink_2,indian,middle_eastern
drink_2,indian,white
drink_2,middle_eastern,white
drink_3,white,african
drink_3,white,asian
drink_3,white,hispanic
drink_3,white,indian
drink_3,african,asian
drink_3,african,hispanic
drink_3,african,indian
drink_3,african,middle_eastern
drink_3,african,south_east_asian
drink_3,asian,middle_eastern
drink_3,asian,south_east_asian
drink_3,hispanic,middle_eastern
drink_3,hispanic,south_east_asian
drink_3,indian,middle_eastern
drink_3,indian,south_east_asian
drink_4,middle_eastern,african
drink_4,middle_eastern,indian
drink_4,african,asian
drink_4,african,hispanic
drink_4,african,south_east_asian
drink_4,african,white
drink_4,asian,indian
drink_4,hispanic,indian
drink_4,indian,south_east_asian
drink_4,indian,white
drink_5,indian,african
drink_5,indian,asian
drink_5,indian,hispanic
drink_5,indian,middle_eastern
drink_5,indian,south_east_asian
drink_5,indian,white
drink_5,african,asian
drink_5,african,hispanic
drink_5,african,middle_eastern
drink_5,african,south_east_asian
drink_5,african,white
drink_5,asian,white
drink_5,hispanic,white
drink_5,middle_eastern,white
drink_5,south_east_asian,white
drink_6,hispanic,white
drink_6,african,white
drink_6,asian,white
drink_6,indian,white
drink_6,middle_eastern,white
drink_6,south_east_asian,white
drink_7,south_east_asian,african
drink_7,south_east_asian,white
drink_7,african,asian
drink_7,african,hispanic
drink_7,african,indian
drink_7,african,middle_eastern
drink_7,asian,white
drink_7,hispanic,white
drink_7,indian,white
drink_7,middle_eastern,white
drink_8,white,hispanic
drink_8,african,hispanic
drink_8,asian,hispanic
drink_8,hispanic,indian
drink_8,hispanic,middle_eastern
drink_8,hispanic,south_east_asian
drink_9,african,indian
drink_9,african,south_east_asian
drink_9,african,white
drink_9,asian,indian
drink_9,asian,south_east_asian
drink_9,asian,white
drink_9,hispanic,indian
drink_9,hispanic,south_east_asian
drink_9,hispanic,white
drink_9,indian,middle_eastern
drink_9,indian,south_east_asian
drink_9,indian,white
drink_9,middle_eastern,south_east_asian
drink_9,middle_eastern,white
drink_9,south_east_asian,white
drive_0,white,african
drive_0,white,asian
drive_0,white,hispanic
drive_0,african,asian
drive_0,african,indian
drive_0,african,middle_eastern
drive_0,african,south_east_asian
drive_0,asian,hispanic
drive_0,asian,indian
drive_0,asian,middle_eastern
drive_0,asian,south_east_asian
drive_0,hispanic,indian
drive_0,hispanic,middle_eastern
drive_0,hispanic,south_east_asian
drive_1,white,african
drive_1,white,asian
drive_1,white,hispanic
drive_1,white,indian
drive_1,white,middle_eastern
drive_1,african,hispanic
drive_1,african,indian
drive_1,african,middle_eastern
drive_1,african,south_east_asian
drive_1,asian,hispanic
drive_1,asian,indian
drive_1,asian,middle_eastern
drive_1,asian,south_east_asian
drive_1,hispanic,south_east_asian
drive_1,indian,south_east_asian
drive_1,middle_eastern,south_east_asian
drive_2,south_east_asian,asian
drive_2,south_east_asian,white
drive_2,african,asian
drive_2,african,white
drive_2,asian,hispanic
drive_2,asian,indian
drive_2,asian,middle_eastern
drive_2,asian,white
drive_2,hispanic,white
drive_2,indian,white
drive_2,middle_eastern,white
drive_3,white,african
drive_3,white,hispanic
drive_3,white,indian
drive_3,white,middle_eastern
drive_3,white,south_east_asian
drive_3,african,asian
drive_3,african,hispanic
drive_3,asian,hispanic
drive_3,asian,indian
drive_3,asian,middle_eastern
drive_3,asian,south_east_asian
drive_3,hispanic,indian
drive_3,hispanic,middle_eastern
drive_3,hispanic,south_east_asian
drive_4,middle_eastern,african
drive_4,middle_eastern,asian
drive_4,middle_eastern,hispanic
drive_4,middle_eastern,indian
drive_4,middle_eastern,white
drive_4,african,south_east_asian
drive_4,asian,south_east_asian
drive_4,hispanic,south_east_asian
drive_4,indian,south_east_asian
drive_4,south_east_asian,white
drive_5,indian,african
drive_5,indian,south_east_asian
drive_5,indian,white
drive_5,african,asian
drive_5,african,hispanic
drive_5,african,middle_eastern
drive_5,african,south_east_asian
drive_5,african,white
drive_5,asian,south_east_asian
drive_5,asian,white
drive_5,hispanic,south_east_asian
drive_5,hispanic,white
drive_5,middle_eastern,south_east_asian
drive_5,middle_eastern,white
drive_6,hispanic,asian
drive_6,hispanic,indian
drive_6,hispanic,middle_eastern
drive_6,hispanic,south_east_asian
drive_6,hispanic,white
drive_6,african,asian
drive_6,african,indian
drive_6,african,middle_eastern
drive_6,african,south_east_asian
drive_6,african,white
drive_6,asian,indian
drive_6,asian,middle_eastern
drive_6,asian,white
drive_6,indian,middle_eastern
drive_6,indian,south_east_asian
drive_6,indian,white
drive_6,middle_eastern,south_east_asian
drive_6,south_east_asian,white
drive_7,south_east_asian,asian
drive_7,south_east_asian,hispanic
drive_7,african,asian
drive_7,african,hispanic
drive_7,asian,indian
drive_7,asian,middle_eastern
drive_7,asian,white
drive_7,hispanic,indian
drive_7,hispanic,middle_eastern
drive_7,hispanic,white
drive_8,white,african
drive_8,white,hispanic
drive_8,white,indian
drive_8,white,south_east_asian
drive_8,african,asian
drive_8,african,indian
drive_8,african,middle_eastern
drive_8,african,south_east_asian
drive_8,asian,hispanic
drive_8,asian,indian
drive_8,asian,south_east_asian
drive_8,hispanic,indian
drive_8,hispanic,middle_eastern
drive_8,hispanic,south_east_asian
drive_8,indian,middle_eastern
drive_8,middle_eastern,south_east_asian
drive_9,african,asian
