base_name,skin_color_1,skin_color_2
cartwheel_0,white,african
cartwheel_0,white,hispanic
cartwheel_0,african,asian
cartwheel_0,african,hispanic
cartwheel_0,african,indian
cartwheel_0,african,middle_eastern
cartwheel_0,african,south_east_asian
cartwheel_0,asian,hispanic
cartwheel_0,hispanic,indian
cartwheel_0,hispanic,middle_eastern
cartwheel_0,hispanic,south_east_asian
cartwheel_4,middle_eastern,african
cartwheel_4,middle_eastern,asian
cartwheel_4,middle_eastern,hispanic
cartwheel_4,middle_eastern,indian
cartwheel_4,middle_eastern,south_east_asian
cartwheel_4,african,asian
cartwheel_4,african,white
cartwheel_4,asian,hispanic
cartwheel_4,asian,indian
cartwheel_4,asian,south_east_asian
cartwheel_4,asian,white
cartwheel_4,hispanic,white
cartwheel_4,indian,white
cartwheel_4,south_east_asian,white
cartwheel_6,hispanic,asian
cartwheel_6,hispanic,middle_eastern
cartwheel_6,hispanic,white
cartwheel_6,african,asian
cartwheel_6,african,middle_eastern
cartwheel_6,african,white
cartwheel_6,asian,indian
cartwheel_6,asian,middle_eastern
cartwheel_6,asian,south_east_asian
cartwheel_6,indian,middle_eastern
cartwheel_6,indian,white
cartwheel_6,middle_eastern,south_east_asian
cartwheel_6,middle_eastern,white
cartwheel_6,south_east_asian,white
cartwheel_7,south_east_asian,hispanic
cartwheel_7,south_east_asian,middle_eastern
cartwheel_7,south_east_asian,white
cartwheel_7,african,hispanic
cartwheel_7,african,middle_eastern
cartwheel_7,african,white
cartwheel_7,asian,hispanic
cartwheel_7,asian,middle_eastern
cartwheel_7,asian,white
cartwheel_7,hispanic,indian
cartwheel_7,indian,middle_eastern
cartwheel_7,indian,white
cartwheel_8,white,african
cartwheel_8,white,asian
cartwheel_8,white,hispanic
cartwheel_8,white,indian
cartwheel_8,white,south_east_asian
cartwheel_8,african,hispanic
cartwheel_8,african,middle_eastern
cartwheel_8,asian,hispanic
cartwheel_8,asian,middle_eastern
cartwheel_8,hispanic,indian
cartwheel_8,hispanic,middle_eastern
cartwheel_8,hispanic,south_east_asian
cartwheel_8,indian,middle_eastern
cartwheel_8,middle_eastern,south_east_asian
celebrate_0,white,african
celebrate_0,white,hispanic
celebrate_0,white,indian
celebrate_0,african,asian
celebrate_0,african,middle_eastern
celebrate_0,african,south_east_asian
celebrate_0,asian,hispanic
celebrate_0,asian,indian
celebrate_0,hispanic,middle_eastern
celebrate_0,hispanic,south_east_asian
celebrate_0,indian,middle_eastern
celebrate_0,indian,south_east_asian
celebrate_8,white,african
celebrate_8,white,hispanic
celebrate_8,white,indian
celebrate_8,white,middle_eastern
celebrate_8,white,south_east_asian
celebrate_8,african,asian
celebrate_8,asian,hispanic
celebrate_8,asian,indian
celebrate_8,asian,middle_eastern
celebrate_8,asian,south_east_asian
celebrate_9,african,asian
celebrate_9,african,hispanic
celebrate_9,african,middle_eastern
celebrate_9,african,white
celebrate_9,asian,indian
celebrate_9,asian,south_east_asian
celebrate_9,hispanic,indian
celebrate_9,hispanic,south_east_asian
celebrate_9,indian,middle_eastern
celebrate_9,indian,white
celebrate_9,middle_eastern,south_east_asian
celebrate_9,south_east_asian,white
clap_1,white,african
clap_1,white,asian
clap_1,white,hispanic
clap_1,white,indian
clap_1,white,middle_eastern
clap_1,white,south_east_asian
clap_1,african,asian
clap_1,african,hispanic
clap_1,african,indian
clap_1,african,middle_eastern
clap_1,african,south_east_asian
clap_1,asian,indian
clap_1,hispanic,indian
clap_1,indian,middle_eastern
clap_1,indian,south_east_asian
clap_2,south_east_asian,african
clap_2,south_east_asian,indian
clap_2,south_east_asian,middle_eastern
clap_2,african,asian
clap_2,african,hispanic
clap_2,african,white
clap_2,asian,indian
clap_2,asian,middle_eastern
clap_2,hispanic,indian
clap_2,hispanic,middle_eastern
clap_2,indian,white
clap_2,middle_eastern,white
clap_4,middle_eastern,south_east_asian
clap_4,african,south_east_asian
clap_4,asian,south_east_asian
clap_4,hispanic,south_east_asian
clap_4,indian,south_east_asian
clap_4,south_east_asian,white
clap_5,indian,asian
clap_5,indian,hispanic
clap_5,indian,middle_eastern
clap_5,indian,south_east_asian
clap_5,indian,white
clap_5,african,asian
clap_5,african,hispanic
clap_5,african,middle_eastern
clap_5,african,south_east_asian
clap_5,african,white
clap_6,hispanic,african
clap_6,hispanic,indian
clap_6,african,asian
clap_6,african,indian
clap_6,african,middle_eastern
clap_6,african,south_east_asian
clap_6,african,white
clap_6,asian,indian
clap_6,indian,middle_eastern
clap_6,indian,south_east_asian
clap_6,indian,white
clap_7,south_east_asian,african
clap_7,south_east_asian,middle_eastern
clap_7,south_east_asian,white
clap_7,african,asian
clap_7,african,hispanic
clap_7,african,indian
clap_7,african,white
clap_7,asian,middle_eastern
clap_7,asian,white
clap_7,hispanic,middle_eastern
clap_7,hispanic,white
clap_7,indian,middle_eastern
clap_7,indian,white
clap_7,middle_eastern,white
clap_9,african,middle_eastern
clap_9,african,south_east_asian
clap_9,african,white
clap_9,asian,middle_eastern
clap_9,asian,south_east_asian
clap_9,asian,white
clap_9,hispanic,middle_eastern
clap_9,hispanic,south_east_asian
clap_9,hispanic,white
clap_9,indian,middle_eastern
clap_9,indian,south_east_asian
clap_9,indian,white
cry_1,white,hispanic
cry_1,african,hispanic
cry_1,asian,hispanic
cry_1,hispanic,indian
cry_1,hispanic,middle_eastern
cry_1,hispanic,south_east_asian
cry_2,south_east_asian,hispanic
cry_2,south_east_asian,white
cry_2,african,hispanic
cry_2,african,white
cry_2,asian,hispanic
cry_2,asian,white
cry_2,hispanic,indian
cry_2,hispanic,middle_eastern
cry_2,hispanic,white
cry_2,indian,white
cry_2,middle_eastern,white
cry_3,white,african
cry_3,white,asian
cry_3,white,hispanic
cry_3,white,indian
cry_3,white,middle_eastern
cry_3,white,south_east_asian
cry_4,middle_eastern,hispanic
cry_4,middle_eastern,south_east_asian
cry_4,african,hispanic
cry_4,african,south_east_asian
cry_4,asian,hispanic
cry_4,asian,south_east_asian
cry_4,hispanic,indian
cry_4,hispanic,white
cry_4,indian,south_east_asian
cry_4,south_east_asian,white
cry_5,indian,white
cry_5,african,white
cry_5,asian,white
cry_5,hispanic,white
cry_5,middle_eastern,white
cry_5,south_east_asian,white
cry_6,hispanic,indian
cry_6,african,indian
cry_6,asian,indian
cry_6,indian,middle_eastern
cry_6,indian,south_east_asian
cry_6,indian,white
cry_7,south_east_asian,african
cry_7,south_east_asian,asian
cry_7,south_east_asian,hispanic
cry_7,south_east_asian,indian
cry_7,south_east_asian,middle_eastern
cry_7,south_east_asian,white
cry_7,african,middle_eastern
cry_7,african,white
cry_7,asian,middle_eastern
cry_7,asian,white
cry_7,hispanic,middle_eastern
cry_7,hispanic,white
cry_7,indian,middle_eastern
cry_7,indian,white
cry_8,white,african
cry_8,white,asian
cry_8,white,hispanic
cry_8,white,indian
cry_8,white,middle_eastern
cry_8,white,south_east_asian
cry_9,african,asian
cry_9,african,indian
cry_9,african,south_east_asian
cry_9,asian,hispanic
cry_9,asian,indian
cry_9,asian,middle_eastern
cry_9,asian,south_east_asian
cry_9,asian,white
cry_9,hispanic,indian
cry_9,hispanic,south_east_asian
cry_9,indian,middle_eastern
cry_9,indian,white
cry_9,middle_eastern,south_east_asian
cry_9,south_east_asian,white
dribble_0,white,african
dribble_0,white,asian
dribble_0,white,hispanic
dribble_0,white,indian
dribble_0,white,middle_eastern
dribble_0,white,south_east_asian
dribble_0,african,indian
dribble_0,african,middle_eastern
dribble_0,asian,indian
dribble_0,asian,middle_eastern
dribble_0,hispanic,indian
dribble_0,hispanic,middle_eastern
dribble_0,indian,south_east_asian
dribble_0,middle_eastern,south_east_asian
dribble_2,south_east_asian,middle_eastern
dribble_2,south_east_asian,white
dribble_2,african,middle_eastern
dribble_2,african,white
dribble_2,asian,middle_eastern
dribble_2,asian,white
dribble_2,hispanic,middle_eastern
dribble_2,hispanic,white
dribble_2,indian,middle_eastern
dribble_2,indian,white
dribble_4,middle_eastern,african
dribble_4,middle_eastern,asian
dribble_4,middle_eastern,hispanic
dribble_4,middle_eastern,indian
dribble_4,middle_eastern,south_east_asian
dribble_4,african,white
dribble_4,asian,white
dribble_4,hispanic,white
dribble_4,indian,white
dribble_4,south_east_asian,white
dribble_6,hispanic,african
dribble_6,hispanic,indian
dribble_6,hispanic,middle_eastern
dribble_6,hispanic,south_east_asian
dribble_6,hispanic,white
dribble_6,african,asian
dribble_6,african,white
dribble_6,asian,indian
dribble_6,asian,middle_eastern
dribble_6,asian,south_east_asian
dribble_6,asian,white
dribble_6,indian,white
dribble_6,middle_eastern,white
dribble_6,south_east_asian,white
dribble_7,south_east_asian,middle_eastern
dribble_7,south_east_asian,white
dribble_7,african,middle_eastern
dribble_7,african,white
dribble_7,asian,middle_eastern
dribble_7,asian,white
dribble_7,hispanic,middle_eastern
dribble_7,hispanic,white
dribble_7,indian,middle_eastern
dribble_7,indian,white
drink_1,white,african
drink_1,white,asian
drink_1,white,hispanic
drink_1,white,indian
drink_1,white,middle_eastern
drink_1,white,south_east_asian
drink_5,indian,asian
drink_5,indian,hispanic
drink_5,indian,middle_eastern
drink_5,indian,south_east_asian
drink_5,indian,white
drink_5,african,asian
drink_5,african,hispanic
drink_5,african,middle_eastern
drink_5,african,south_east_asian
drink_5,african,white
drink_7,south_east_asian,asian
drink_7,south_east_asian,middle_eastern
drink_7,south_east_asian,white
drink_7,african,asian
drink_7,african,middle_eastern
drink_7,african,white
drink_7,asian,hispanic
drink_7,asian,indian
drink_7,asian,middle_eastern
drink_7,hispanic,middle_eastern
drink_7,hispanic,white
drink_7,indian,middle_eastern
drink_7,indian,white
drink_7,middle_eastern,white
drink_8,white,african
drink_8,white,hispanic
drink_8,white,indian
drink_8,white,middle_eastern
drink_8,white,south_east_asian
drink_8,african,asian
drink_8,african,hispanic
drink_8,african,middle_eastern
drink_8,african,south_east_asian
drink_8,asian,hispanic
drink_8,asian,indian
drink_8,asian,middle_eastern
drink_8,asian,south_east_asian
drink_8,hispanic,indian
drink_8,indian,middle_eastern
drink_8,indian,south_east_asian
drink_9,african,hispanic
drink_9,african,middle_eastern
drink_9,asian,hispanic
drink_9,asian,middle_eastern
drink_9,hispanic,indian
drink_9,hispanic,south_east_asian
drink_9,hispanic,white
drink_9,indian,middle_eastern
drink_9,middle_eastern,south_east_asian
drink_9,middle_eastern,white
drive_0,white,hispanic
drive_0,african,hispanic
drive_0,asian,hispanic
drive_0,hispanic,indian
drive_0,hispanic,middle_eastern
drive_0,hispanic,south_east_asian
drive_1,white,african
drive_1,white,hispanic
drive_1,white,indian
drive_1,white,south_east_asian
drive_1,african,asian
drive_1,african,middle_eastern
drive_1,asian,hispanic
drive_1,asian,indian
drive_1,asian,south_east_asian
drive_1,hispanic,middle_eastern
drive_1,indian,middle_eastern
drive_1,middle_eastern,south_east_asian
drive_2,south_east_asian,african
drive_2,south_east_asian,asian
drive_2,south_east_asian,indian
drive_2,south_east_asian,middle_eastern
drive_2,african,hispanic
drive_2,african,white
drive_2,asian,hispanic
drive_2,asian,white
drive_2,hispanic,indian
drive_2,hispanic,middle_eastern
drive_2,indian,white
drive_2,middle_eastern,white
drive_4,middle_eastern,white
drive_4,african,white
drive_4,asian,white
drive_4,hispanic,white
drive_4,indian,white
drive_4,south_east_asian,white
drive_5,indian,asian
drive_5,indian,hispanic
drive_5,indian,middle_eastern
drive_5,indian,south_east_asian
drive_5,indian,white
drive_5,african,asian
drive_5,african,hispanic
drive_5,african,middle_eastern
drive_5,african,south_east_asian
drive_5,african,white
drive_6,hispanic,african
drive_6,hispanic,indian
drive_6,hispanic,south_east_asian
drive_6,african,asian
drive_6,african,middle_eastern
drive_6,african,white
drive_6,asian,indian
drive_6,asian,south_east_asian
drive_6,indian,middle_eastern
drive_6,indian,white
drive_6,middle_eastern,south_east_asian
drive_6,south_east_asian,white
drive_8,white,african
drive_8,white,indian
drive_8,african,asian
drive_8,african,hispanic
drive_8,african,middle_eastern
drive_8,african,south_east_asian
drive_8,asian,indian
drive_8,hispanic,indian
drive_8,indian,middle_eastern
drive_8,indian,south_east_asian
golf_0,white,african
golf_0,white,asian
golf_0,white,hispanic
golf_0,white,indian
golf_0,white,middle_eastern
golf_0,african,asian
golf_0,african,hispanic
golf_0,african,indian
golf_0,african,middle_eastern
golf_0,african,south_east_asian
golf_0,asian,south_east_asian
golf_0,hispanic,south_east_asian
golf_0,indian,south_east_asian
golf_0,middle_eastern,south_east_asian
golf_1,white,indian
golf_1,african,indian
golf_1,asian,indian
golf_1,hispanic,indian
golf_1,indian,middle_eastern
golf_1,indian,south_east_asian
golf_4,middle_eastern,african
golf_4,middle_eastern,asian
golf_4,middle_eastern,hispanic
golf_4,middle_eastern,indian
golf_4,middle_eastern,south_east_asian
golf_4,middle_eastern,white
golf_4,african,asian
golf_4,african,hispanic
golf_4,african,indian
golf_4,african,south_east_asian
golf_4,african,white
golf_4,asian,hispanic
golf_4,asian,indian
golf_4,asian,south_east_asian
golf_4,asian,white
golf_4,hispanic,indian
golf_4,indian,south_east_asian
golf_4,indian,white
hug_0,white,asian
hug_0,white,indian
hug_0,white,south_east_asian
hug_0,african,asian
hug_0,african,indian
hug_0,african,south_east_asian
hug_0,asian,hispanic
hug_0,asian,middle_eastern
hug_0,hispanic,indian
hug_0,hispanic,south_east_asian
hug_0,indian,middle_eastern
hug_0,middle_eastern,south_east_asian
hug_1,white,african
hug_1,white,asian
hug_1,white,hispanic
hug_1,white,indian
hug_1,white,middle_eastern
hug_1,white,south_east_asian
hug_3,white,african
hug_3,african,asian
hug_3,african,hispanic
hug_3,african,indian
hug_3,african,middle_eastern
hug_3,african,south_east_asian
hug_4,middle_eastern,african
hug_4,middle_eastern,asian
hug_4,middle_eastern,south_east_asian
hug_4,african,hispanic
hug_4,african,indian
hug_4,african,white
hug_4,asian,hispanic
hug_4,asian,indian
hug_4,asian,white
hug_4,hispanic,south_east_asian
hug_4,indian,south_east_asian
hug_4,south_east_asian,white
hug_6,hispanic,african
hug_6,hispanic,asian
hug_6,hispanic,middle_eastern
hug_6,hispanic,white
hug_6,african,asian
hug_6,african,indian
hug_6,african,middle_eastern
hug_6,african,south_east_asian
hug_6,asian,indian
hug_6,asian,south_east_asian
hug_6,asian,white
hug_6,indian,middle_eastern
hug_6,indian,white
hug_6,middle_eastern,south_east_asian
hug_6,middle_eastern,white
hug_6,south_east_asian,white
jog_0,white,asian
jog_0,white,hispanic
jog_0,white,middle_eastern
jog_0,white,south_east_asian
jog_0,african,asian
jog_0,african,hispanic
jog_0,african,middle_eastern
jog_0,african,south_east_asian
jog_0,asian,indian
jog_0,hispanic,indian
jog_0,indian,middle_eastern
jog_0,indian,south_east_asian
jog_2,south_east_asian,african
jog_2,south_east_asian,asian
jog_2,south_east_asian,white
jog_2,african,asian
jog_2,african,hispanic
jog_2,african,indian
jog_2,african,middle_eastern
jog_2,african,white
jog_2,asian,hispanic
jog_2,asian,indian
jog_2,asian,middle_eastern
jog_2,hispanic,white
jog_2,indian,white
jog_2,middle_eastern,white
jog_5,indian,asian
jog_5,indian,hispanic
jog_5,indian,middle_eastern
jog_5,indian,south_east_asian
